id,stores,title,main_image,detail_images,brand,categories,body
product1,store1,2-Seater,images/molla/product/1-1.jpg,images/molla/product/1-1.jpg|images/molla/product/1-2.jpg,F&F,"Furniture","Sed egestas, ante et vulputate volutpat, eros pede semper est, vitae luctus metus libero eu augue. Morbi purus libero, faucibus adipiscing. Sed lectus."
product2,store1,Block Side Table/Trolley,images/molla/product/2-1.jpg,images/molla/product/2-1.jpg|images/molla/product/2-2.jpg,F&F,"Coffee & Tables,Furniture,Tables","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product3,store1,Butler Stool Ladder,images/molla/product/3-1.jpg,images/molla/product/3-1.jpg|images/molla/product/3-2.jpg,River Island,"Furniture","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product4,store1,Can 2-Seater Sofa,images/molla/product/4-1.jpg,images/molla/product/4-1.jpg|images/molla/product/4-2.jpg,Geox,"Furniture","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product5,store1,Roots Sofa Bed,images/molla/product/5-1.jpg,images/molla/product/5-1.jpg|images/molla/product/5-2.jpg,UGG,"Furniture","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product6,store1,Carronade Table Lamp,images/molla/product/6-1.jpg,images/molla/product/6-1.jpg|images/molla/product/6-2.jpg,River Island,"Decoration,Electronics,Lighting","Sed egestas, ante et vulputate volutpat, eros pede semper est, vitae luctus metus libero eu augue. Morbi purus libero, faucibus adipiscing. Sed lectus."
product7,store1,Cushion Set 3 Pieces,images/molla/product/7-1.jpg,images/molla/product/7-1.jpg|images/molla/product/7-2.jpg,Nike,"Decoration,Beds","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product8,store1,Flow Slim Armchair,images/molla/product/8-1.jpg,images/molla/product/8-1.jpg|images/molla/product/8-2.jpg|images/molla/product/8-3.jpg,New Balance,"Furniture,Armchairs & Chaises","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product9,store1,Foldable Tray Table,images/molla/product/9-1.jpg,images/molla/product/9-1.jpg|images/molla/product/9-2.jpg,New Balance,"Decoration,Furniture","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
product10,store1,Garden Armchair,images/molla/product/10-1.jpg,images/molla/product/10-1.jpg|images/molla/product/10-2.jpg,New Balance,"Decoration,Furniture,Armchairs & Chaises","Morbi purus libero, faucibus adipiscing, commodo quis, gravida id, est. Sed lectus. Praesent elementum hendrerit tortor. Sed semper lorem at felis. Vestibulum volutpat, lacus a ultrices sagittis, mi neque euismod dui, eu pulvinar nunc sapien ornare nisl. Phasellus pede arcu, dapibus eu, "
